Posicion_Voz;Voz;Total_Voces;Voces_Correctas;Voces_Incorrectas;Porcentaje_Acierto;Porcentaje_Total_Posicion
9;5Pic;1;0;1;0.00%;1.75%
10;RESUMEN;51;24;27;47.06%;100.00%
10;Pass;41;22;19;53.66%;80.39%
10;3Tre;2;1;1;50.00%;3.92%
10;3NT;2;0;2;0.00%;3.92%
10;4Tre;1;1;0;100.00%;1.96%
10;2Cor;1;0;1;0.00%;1.96%
10;3Dia;1;0;1;0.00%;1.96%
10;4Cor;1;0;1;0.00%;1.96%
10;3Pic;1;0;1;0.00%;1.96%
10;3Cor;1;0;1;0.00%;1.96%
